CUI1	STR1	RELA	STR2	CUI2
C1335671	Receptor Gene	gene_product_encoded_by_gene	Receptors, Cytokine	C0206552
C0035322	Structure of retinal pigment epithelium	gene_product_expressed_in_tissue	BCMO1 protein, human	C1313655
C1517100	FUS-DDIT3 Fusion Protein Expression	gene_product_has_abnormality	FUS/DDIT3 Fusion Protein	C3274656
C1383501	Cytoplasmic matrix	gene_product_has_associated_anatomy	DDC protein, human	C4042618
C0020289	Hydrolase	gene_product_has_biochemical_function	6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 3	C3539535
C1180069	Membrane protein of mitochondrion	gene_product_has_chemical_classification	ATP-Binding Cassette Sub-Family F Member 2	C3831456
C3274355	EGFR NP_005219.2:p.H773_V774insG	gene_product_has_gene_product_variant	EGFR protein, human	C1739039
C0086418	Homo sapiens	gene_product_has_organism_source	TFAP2C protein, human	C1529556
C1519623	Transmembrane Domain	gene_product_has_structural_domain_or_motif	HLA-DR Antigens	C0019764
C0684249	Carcinoma of lung	gene_product_is_biomarker_of	CYP1A1 protein, human	C3252639
C1513179	Metastasis and Aggressiveness Marker	gene_product_is_biomarker_type	MMP11 protein, human	C1723260
C2984251	Neuroactive Ligand-Receptor Signaling Pathway	gene_product_is_element_in_pathway	Pro-Opiomelanocortin, human	C3889630
C0076919	Transcription Factor TFIID	gene_product_is_physical_part_of	TAF1 protein, human	C1146629
C0152013	Adenocarcinoma of lung (disorder)	gene_product_malfunction_associated_with_disease	TACSTD1 protein, human	C0903677
C0162493	Transcriptional Activation	gene_product_plays_role_in_biological_process	CREB-Regulated Transcription Coactivator 3	C2987036
C3272694	PIK3CA Gene Mutation	gene_product_sequence_variation_encoded_by_gene_mutant	PIK3CA NP_006209.2:p.E545Q	C3274118
C0668624	AKT1 protein, human	gene_product_variant_of_gene_product	AKT1 NP_001014431.1:p.E17K	C3273954
C1181291	Endo-epithelium	germ_origin_of	Endoderm	C0014144
C4295511	intraoperative transluminal angioplasty additional vein	grade_of	Operative procedure on vein	C0190975
C0025344	Menstruation	happens_during	uterine wall breakdown	C1326746
C5396168	Partially bioabsorbable	has_absorbability	Partially-bioabsorbable composite spinal fusion cage	C4040743
C0522523	Percutaneous	has_access	Reduction of closed talus fracture with manipulation and percutaneous pinning	C0188926
C1289883	Flexible fiberoptic endoscope	has_access_instrument	Fiberoptic ileoscopy through stoma	C0192703
C0882056	Guidance for percutaneous biopsy:Find:Pt:Pelvis:Doc:CT	has_action_guidance	Biopsy	C0005558
C0303275	Potassium and/or potassium compound-containing product	has_active_ingredient	potassium Oral Product	C0357141
C0000618	mercaptopurine	has_active_metabolites	azathioprine	C0004482
C0000970	acetaminophen	has_active_moiety	acetaminophen 500 MG Oral Tablet	C0691089
C0184511	Improved	has_actual_outcome	Sleep Deprivation	C0037316
C3511583	Interactive complexity (List separately in addition to the code for primary procedure)	has_add_on_code	Psychotherapy, 45 minutes with patient	C3526570
C0228131	Cranial pia mater	has_adherent	Brain	C0006104
C1439358	Adjusted to patients actual temperature	has_adjustment	Oxygen^^adjusted to patient's actual temperature:PPres:Pt:Bld:Qn	C0802157
C0439801	Limited (extensiveness)	has_aggregation_view	Multisection limited:Find:Pt:Extremity:Doc:CT	C1524445
C1426329	AAK1 gene	has_alias	AAK1 gene	C1426329
C1863444	CHRNG, 2-BP DEL, 753CT	has_allelic_variant	CHRNG gene	C1413413
C2711218	Evaluation of oculomotor system abnormal	has_alternative	Oculomotor study abnormal	C0159106
C0807444	Platelet satellitism	has_answer	Platelet morphology finding:Prid:Pt:Bld:Nom	C0549842
C0442355	Transgastric approach	has_approach	Insertion of tubal prosthesis into esophagus via stomach	C0473000
C2361223	Guidance for percutaneous replacement of drainage tube:Find:Pt:Abdomen:Doc:CT	has_approach_guidance	Percutaneous	C0522523
C1315135	Adrenal Ab:Titr:Pt:Ser:Qn	has_archetype	Adrenal Ab&#x7C;Titr&#x7C;Pt&#x7C;ANYBldSerPl	C5214775
C0923683	Lateral frontobasal artery	has_arterial_supply	Lateral orbital gyrus	C0262268
C4062585	Prescribed immobility	has_associated_condition	At risk for disuse syndrome	C1268625
C0014236	Endophthalmitis	has_associated_etiologic_finding	Uveitic glaucoma	C1281939
C1263864	Blindness AND/OR vision impairment level	has_associated_finding	FH: Blindness/low vision	C0455399
C0018767	Hearing	has_associated_function	O/E - hearing	C0587140
C2242558	Pathologic calcification, calcified structure	has_associated_morphology	abdominal x-ray, AP view: hepatic calcification	C2227724
C2919678	Percentage of predicted forced vital capacity	has_associated_observation	FVC % of predicted value	C2238301
C1522449	Therapeutic radiology procedure	has_associated_procedure	Family history of radiation therapy	C2315906
C4063083	Extremes of age	has_at_risk_population	Impaired tissue integrity	C0150085
C1382100	Solution Dosage Form	has_basic_dose_form	Nasal solution spray	C1273000
C0903898	nateglinide	has_basis_of_strength_substance	nateglinide 60 MG Oral Tablet	C0981630
C0006383	Accessory atrioventricular bundle (body structure)	has_branch	Ventricular part of atrioventricular bundle	C0504041
C0032914	Pre-Eclampsia	has_british_form	Pre-Eclampsia	C0032914
C0038739	Sulfides	has_causative_agent	exposure to sulfides dust	C2220440
C1439886	post XXX challenge	has_challenge	Calcitonin^4th specimen post XXX challenge:MCnc:Pt:Ser/Plas:Qn	C0549904
C1315022	Electrocardiogram measures	has_class	R' wave amplitude.lead V5:Elpot:Pt:Heart:Qn:EKG	C0489350
C2945760	Recurrent	has_clinical_course	Recurrent pulmonary embolism	C1735914
C0198869	Anesthesia for procedure on nose and accessory sinuses	has_clinician_form	Anesthesia for procedure on nose and accessory sinuses	C0198869
C0063083	Hydrogel	has_coating_material	Foley 2-way hydrogel coated latex male length urethral catheter with water filled syringe	C5545749
C0488417	R wave duration.lead I:Time:Pt:Heart:Qn:EKG	has_common_name	R wave duration.lead I:Time:Pt:Heart:Qn:EKG	C0488417
C0559870	Open injury	has_communication_with_wound	Open fracture of base of neck of femur	C0159820
C0019878	homocysteine	has_component	Plasma homocysteine measurement after methionine load	C2586090
C0025552	Metals	has_compositional_material	Bare metal colonic stent	C3876691
C0439242	milliliter	has_concentration_strength_denominator_unit	calcium glubionate 218 MG/ML / calcium lactobionate 145 MG/ML Oral Solution	C0792710
C0205447	One	has_concentration_strength_denominator_value	cefuroxime 25 MG/ML Oral Suspension	C0975417
C0439210	milligram	has_concentration_strength_numerator_unit	cefixime 20 MG/ML Oral Suspension	C0975351
C3816746	400	has_concentration_strength_numerator_value	brompheniramine maleate 0.4 MG/ML Oral Solution	C0693257
C0940882	Dilation size	has_conceptual_part	Dilated	C0700124
C0584646	Myotendinous Junction	has_connection_type	Myotendinous junction plate	C1183437
C2338290	Endothelium of nodulus of left posterior cusp of aortic valve	has_constitutional_part	Nodulus of left posterior cusp of aortic valve	C0503915
C3527447	Anesthesia for procedure on mouth to repair palate deformity	has_consumer_friendly_form	Anesthesia for intraoral procedures, including biopsy; repair of cleft palate	C0370252
C1550327	Administrative Gender	has_context_binding	Administrative Gender	C1550327
C0835831	Posterior cord of left brachial nerve plexus	has_continuation_branch	Trunk of left superior subscapular nerve	C0935411
C0288165	delavirdine	has_contraindicated_class	Ergotamines	C0014711
C0981808	acetylsalicylate sodium	has_contraindicated_drug	Virus Diseases	C0042769
C0354872	cyproheptadine hydrochloride	has_contraindicated_mechanism_of_action	Monoamine Oxidase Inhibitors [MoA]	C2756978
C0291771	alosetron hydrochloride	has_contraindicated_physiologic_effect	Increased Coagulation Factor Activity	C1372256
C0205449	Three	has_count	Bacteria identified^^^3:Prid:Pt:Genital:Nom:Aerobic culture	C1145721
C0205448	Two	has_count_of_active_ingredient	Live attenuated Human poliovirus serotypes 1 and 3 antigens only vaccine product in oral dose form	C5397302
C0205447	One	has_count_of_base_of_active_ingredient	dolutegravir 50 MG Oral Tablet	C3663834
C0205374	Transitory	has_course	Transient arthropathy of acromioclavicular joint	C0409806
C4684976	CTCAE by Body System	has_ctcae_5_parent	Nervous System Disorders, CTCAE	C4554606
C0008652	Chromosomes, Human, Pair 10	has_ctdc_value	Chromosomes	C0008633
C0679250	Disease Outcome	has_data_element	CDISC SDTM Disease Outcome Terminology	C3542417
C0178238	Intestinal infectious disease (disorder)	has_default_inpatient_classification	Salmonella food poisoning	C0036114
C0178238	Intestinal infectious disease (disorder)	has_default_outpatient_classification	Typhoid Fever	C0041466
C4062931	Insufficient emptying of each breast per feeding	has_defining_characteristic	Abnormal breast feeding	C3887479
C1291764	Immune System Finding	has_definitional_manifestation	SLE glomerulonephritis syndrome, WHO class VI	C0268759
C0941037	Type IA: spurting arterial bleeding of duodenal ulcer	has_degree	Type of bleeding of duodenal ulcer	C0941036
C3645626	SNOMED CT core	has_dependent	SNOMED CT model component module (core metadata concept)	C3540690
C4242667	Carnegie stage 13	has_developmental_stage	Right maxillary process	C4244397
C4249501	Anatomical fusion	has_development_type	Embryonic secondary palate	C4242704
C0232920	Sterile (qualifier value)	has_device_characteristic	Polyurethane foam film dressing sterile without adhesive border 10cm x 25cm rectangular	C1303450
C0006141	Breast	has_device_intended_site	Saline-filled smooth breast implant	C4708703
C4236917	Adult sexual abuse by nonspouse or nonpartner, Confirmed, Initial encounter	has_diagnostic_criteria	Adult sexual abuse, confirmed, initial encounter	C2886537
C1298908	no	has_dipg_dmg_permissible_value	Abnormal behavior	C0233514
C1182671	Cuboidal	has_direct_cell_shape	Epithelium of main duct of prostatic gland	C1183867
C0005846	Blood Vessel Prosthesis	has_direct_device	Insertion of arteriovenous prosthesis	C0398226
C0000768	Congenital Abnormality	has_direct_morphology	Correction of congenital deformity of hip	C0409004
C0023884	Liver	has_direct_procedure_site	Percutaneous needle biopsy liver	C1261294
C0006087	Structure of brachial artery	has_direct_site	Brachial pulse rate	C1720094
C0439861	Substance	has_direct_substance	Drainage of Skene's gland cyst	C0194554
C4521961	Isomerase (disposition)	has_disposition	ornithine racemase	C0312340
C1441345	100 spermatozoa	has_divisor	Spermatozoa.abnormal head/100 spermatozoa:NFr:Pt:Semen:Qn	C0485065
C3205659	Topical Product	has_doseformgroup	diclofenac / troxerutin Topical Product	C3205680
C0039226	Delayed Release Oral Tablet	has_dose_form	acamprosate Delayed Release Oral Tablet	C2355930
C4521676	Apply (administration method)	has_dose_form_administration_method	Nasal Cream	C0991523
C4521780	Gastroenteral (intended site)	has_dose_form_intended_site	Gastroenteral dose form	C1272929
C4544675	Conventional release	has_dose_form_release_characteristic	Nasal Gel	C0991526
C4545472	Disperse	has_dose_form_transformation	Extended-release granules for suspension	C1707975
C1284392	Entire dentin	has_entire_anatomy_structure	Dentin	C0011429
C0034060	Pulmonary Medicine	has_entry_version	Pulmonary Medicine	C0034060
C0580798	Ongoing episode	has_episodicity	continuous electrocardiogram atrial premature depolarization frequent	C2108072
C0449517	Type of prosthesis	has_evaluation	Prosthesis Implantation	C0525024
C4070481	Multisection 3D post processing^WO & W contrast IV:Find:Pt:Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder:Doc:CT	has_exam	3D post processing	C4071816
C0205503	Transthoracic approach	has_excluded_approach	Total or near total esophagectomy, without thoracotomy; with pharyngogastrostomy or cervical esophagogastrostomy, with or without pyloroplasty (transhiatal)	C0371960
C0003534	Aphakia	has_excluded_associated_finding	Prescription of optical and physical characteristics of and fitting of contact lens, with medical supervision of adaptation; corneal lens, both eyes, except for aphakia	C0374220
C0489913	Closed treatment of metacarpophalangeal dislocation, single, with manipulation; without anesthesia	has_excluded_associated_procedure	Anesthesia procedures	C0002903
C0302050	Antigen in Rh blood group system	has_excluded_component	Blood typing, serologic; RBC antigens, other than ABO or Rh (D), each	C0373964
C0085904	Free Standing Birthing Center	has_excluded_locale	Initial care, per day, for evaluation and management of normal newborn infant seen in other than hospital or birthing center	C2366751
C0947647	Manipulation procedure	has_excluded_method	Closed treatment of acetabulum (hip socket) fracture(s); without manipulation	C0186303
C0037293	Skin tag	has_excluded_pathology	Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter over 4.0 cm	C0370397
C0021270	Infant	has_excluded_patient_type	Meatotomy, cutting of meatus (separate procedure); except infant	C0372424
C1275732	Implantable venous access port	has_excluded_procedure_device	Replacement, complete, of a non-tunneled centrally inserted central venous catheter, without subcutaneous port or pump, through same venous access	C1314044
C0222224	Skin structure of hand	has_excluded_procedure_site	Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 7.6 cm to 12.5 cm	C0370472
C1522726	Intravenous Route of Drug Administration	has_excluded_route_of_administration	Transcranial Doppler study of the intracranial arteries; emboli detection without intravenous microbubble injection	C1504189
C0178913	Blood specimen	has_excluded_specimen	Uric acid; other source	C0373740
C0439807	Radical (qualifier value)	has_excluded_surgical_extent	Thymectomy, partial or total; sternal split or transthoracic approach, without radical mediastinal dissection (separate procedure)	C0372679
C1965718	Comprehensive prolonged new home visit 150 minutes homeopathic intake	has_expanded_form	Comprehensive prolonged new home visit 150 minutes homeopathic intake	C1965718
C0184511	Improved	has_expected_outcome	Sleep pattern disturbance	C0150079
C0439810	Total	has_extent	Other specified total excision of colon	C0400038
C0037494	sodium chloride	has_filling	Saline-filled textured breast implant	C4708705
C1444639	Known present	has_finding_context	Family history of diabetes mellitus	C1313937
C1637797	Subject of record or other provider of history	has_finding_informer	Apparent life threatening event	C1610642
C0412534	Ultrasonography of liver	has_finding_method	Ultrasound liver normal	C0853566
C0687025	Muscle of buttock	has_finding_site	muscle cramps in buttock or hip region occurring at night	C2130262
C0199396	Counseling for termination of pregnancy	has_focus	Referral for counseling for termination of pregnancy	C0579134
C0770720	diphtheria toxoid adsorbed	has_form	diphtheria toxoid vaccine, inactivated	C0012551
C0051654	aminopentamide	has_free_acid_or_base_form	Aminopentamide Hydrochloride	C2698090
C3714787	Central Nervous System	has_full_grown_phenotype	Neural tube	C0231024
C4242704	Embryonic secondary palate	has_fusion	Left palatal shelf	C4242703
C4745311	Tumor Regression Score 0	has_gdc_value	Tumor Regression Grade	C3827752
C1531189	CTNNB1 protein, human	has_gene_product_element	Mucosal Healing Pathway	C1513724
C0014144	Endoderm	has_germ_origin	Endo-epithelium	C1181291
C1979874	Contrast	has_given_pharmaceutical_substance	Multisection^W contrast IV:Find:Pt:Head:Doc:CT	C0881945
C0190975	Operative procedure on vein	has_grade	intraoperative transluminal angioplasty initial vein	C4295510
C1705108	Yes (indicator)	has_icdc_value	Neutered Indicator	C4764182
C0018670	Head	has_imaged_location	Multisection:Find:Pt:Head:Doc:CT.perfusion	C0881946
C0037004	Shoulder	has_imaging_focus	Multisection:Finding:Point in time:Shoulder:Narrative:MRI	C0882088
C0001962	ethanol	has_inactive_ingredient	Artemisia Abrotanum Flowering Top 15 [hp_X] in 1 mL / Horse Chestnut 15 [hp_X] in 1 mL / Garlic 15 [hp_X] in 1 mL / Arsenic Trioxide 15 [hp_X] in 1 mL / Artemisia Vulgaris Root 15 [hp_X] in 1 mL / Baptisia Tinctoria 15 [hp_X] in 1 mL / Artemisia Maritima Flower 15 [hp_X] in 1 mL / Copper 15 [hp_X] in 1 mL / Dryopteris Filix-mas Root 15 [hp_X] in 1 mL / Punica Granatum Root Bark 15 [hp_X] in 1 mL / Ipecac 15 [hp_X] in 1 mL / Lachesis Muta Venom 15 [hp_X] in 1 mL / Lycopodium Clavatum Spore 15 [hp_X] in 1 mL / Mercury 15 [hp_X] in 1 mL / Naphthalene 15 [hp_X] in 1 mL / Sodium Chloride 15 [hp_X] in 1 mL / Strychnos Nux-vomica Seed 15 [hp_X] in 1 mL / Pulsatilla Vulgaris 15 [hp_X] in 1 mL / Krameria Lappacea Root 15 [hp_X] in 1 mL / Ruta Graveolens Flowering Top 15 [hp_X] in 1 mL / Schoenocaulon Officinale Seed 15 [hp_X] in 1 mL / Santonin 15 [hp_X] in 1 mL / Silicon Dioxide 15 [hp_X] in 1 mL / Spigelia Anthelmia 15 [hp_X] in 1 mL / Turpentine Oil 15 [hp_X] in 1 mL / Teucrium Marum 15 [hp_X] in 1 mL / Thymol 15 [hp_X] in 1 mL / Ginger 15 [hp_X] in 1 mL / English Walnut 3 [hp_X] in 1 mL ORAL LIQUID [Parasites]	C3504606
C4743789	Neonatal Adverse Event	has_inc_parent	Neonatal Culture Negative Sepsis, Adverse Event	C4743797
C0444271	Ventricular reservoir	has_indirect_device	Medication administration: ventricular reservoir	C0262714
C0027651	Neoplasms	has_indirect_morphology	Injection of chemotherapeutic substance into tumour of brain tissue	C0472409
C0023884	Liver	has_indirect_procedure_site	Transplantation of liver	C0023911
C0722378	Oyster brand of calcium carbonate	has_ingredient	calcium carbonate 1250 MG Oral Tablet	C0936177
C1720107	benzalkonium / tolnaftate	has_ingredients	benzalkonium 1 MG/ML / tolnaftate 100 MG/ML Topical Cream	C1346383
C0445550	Low dose	has_ingredient_characteristic	Acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae and inactivated Human poliovirus antigens only vaccine product	C5397502
C0445550	Low dose	has_ingredient_qualitative_strength	Vaccine product containing only low dose acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae antigens (medicinal product)	C5399685
C1166795	Spindle	has_inherent_3d_shape	Skeletal Myocytes	C1704336
C0428641	Jugular bulb pressure	has_inherent_attribute	Structure of inferior bulb of internal jugular vein	C0226552
C0229665	Blood arterial	has_inherent_location	Saturation of Peripheral Oxygen	C2317096
C1853237	Isolated cases	has_inheritance_type	Mental Retardation with Optic Atrophy, Facial Dysmorphism, Microcephaly, and Short Stature	C1836915
C0816401	Right coracoid process	has_insertion	Right pectoralis minor	C0507189
C0180274	Cystoscopes	has_instrumentation	Endoscopic suburethral injection of collagen in female	C0554155
C1456501	Preventive intent	has_intent	Pasteurization	C0597885
C1446409	Positive	has_interpretation	BRCA1 gene mutation positive	C1445905
C0675838	TAC 101	has_lab_number	Amsilarotene	C2830076
C0205090	Right	has_laterality	sensation of something floating in right thumb joint	C2127770
C0238767	Bilateral	has_lateral_anatomic_location	Multisection:Find:Pt:Upper extremity.bilateral>Forearm:Doc:CT	C1524390
C0205238	True	has_lateral_location_presence	Multisection:Find:Pt:Head>Internal auditory canal:Doc:CT	C1524353
C3669635	Lives in water	has_life_circumstance	Cold-blooded aquatic animal	C3687496
C2585313	Outpatient environment	has_locale	Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using time for code selection, 30-39 minutes of total time is spent on the date of the encounter.	C0374560
C0005423	Biliary tract structure	has_location	Injection procedure	C1533685
C3173540	Progress note:Find:Pt:Hospital:Doc:Pulmonary disease.medical student	has_loinc_number	Progress note&#x7C;ANYRole&#x7C;ANYSetting	C5220260
C2335919	Lymphatic tree of central part of fibroglandular mass proper of breast	has_lymphatic_drainage	Central part of fibroglandular mass proper of breast	C2324945
C0231472	Standing position	has_maneuver_type	Views^W standing:Find:Pt:Lower extremity.left>Great toe:Doc:XR	C1525880
C0155789	Bleeding esophageal varices	has_manifestation	Esophageal Varices	C0014867
C0000769	teratologic	has_mapping_qualifier	Ramer Ladda syndrome	C2930865
C0033684	Proteins	has_measured_component	CSF globulin measurement	C0428532
C0344440	Hemoglobin Electrophoresis	has_measurement_method	Determination of hemoglobin subtype using electrophoresis	C2711868
C1373094	Cellular or Molecular Interactions	has_mechanism_of_action	ezetimibe	C1142985
C0155019	Abnormal dark adaptation curve	has_member	Optic nerve disorders (SMQ)	C2363983
C0449327	Method of biopsy	has_method	Biopsy	C0005558
C4071827	Angio	has_modality_subtype	Multisection^W contrast IV:Find:Pt:Abdomen>Abdominal vessels:Doc:MR.angio	C0881775
C0040405	X-Ray Computed Tomography	has_modality_type	Guidance for percutaneous aspiration of fluid:Find:Pt:Pelvis:Doc:CT	C0882055
C0282128	heroin hydrochloride	has_modification	heroin	C0011892
C0005424	Biliary Tract Diseases	has_multi_level_category	Biliary Tract Diseases	C0005424
C0501767	Left first lumbar spinal ganglion	has_nerve_supply	Uterus	C0042149
C1524337	Guidance for placement of tube:Find:Pt:Chest:Doc:CT	has_object_guidance	biomedical tube device	C0175730
C4242663	Carnegie stage 9	has_observed_anatomical_entity	Neural Groove	C0814992
C0265338	Coffin-Siris syndrome	has_occurrence	Congenital qualifier	C1744681
C1272517	Sudden onset (contextual qualifier) (qualifier value)	has_onset	Hearing Loss, Sudden	C0011057
C0816440	Supraspinous fossa	has_origin	Head of supraspinatus	C4252685
C0041700	United Kingdom	has_owning_affiliate	Great Britain	C0018223
C3245510	Administrative Management Publishing Section	has_owning_section	financial information	C3242467
C3242467	financial information	has_owning_subsection	accounting & billing	C3242438
C0201899	Aspartate aminotransferase measurement	has_panel_element	Comprehensive Metabolic Panel	C0519825
C2825096	Anti-IgE [EPC]	has_parent	omalizumab	C0966225
C5214666	Chem_DrugTox_Chal_Sero_Allergy<SAME:Comp&#x7C;Prop&#x7C;Tm&#x7C;Syst (except intravascular and urine)><ANYBldSerPlas,ANYUrineUrineSed><ROLLUP:Method>	has_parent_group	(Alnus incana+Corylus avellana+Ulmus americana+Salix caprea+Populus deltoides) Ab.IgE&#x7C;ACnc&#x7C;Pt&#x7C;ANYBldSerPl	C5214709
C0005423	Biliary tract structure	has_part	Biliary and pancreatic system	C0939965
C1268100	Fibula part	has_part_anatomy_structure	Fibula	C0016068
C0443146	Autoimmune reaction	has_pathological_process	SLE glomerulonephritis syndrome, WHO class VI	C0268759
C0043250	Injury wounds	has_pathology	Incision and drainage, complex, postoperative wound infection	C0191289
C0021289	Infant, Newborn	has_patient_type	Car seat/bed testing for airway integrity, for infants through 12 months of age, with continual clinical staff observation and continuous recording of pulse oximetry, heart rate and respiratory rate, with interpretation and report; 60 minutes	C3248243
C0439673	Unknown	has_pcdc_all_permissible_value	CNS Involvement Status at Leukemia Diagnosis	C3899751
C0011015	daunorubicin	has_pcdc_aml_permissible_value	Antineoplastic Agents	C0003392
C0805701	Code	has_pcdc_data_type	Ethnicity	C0015031
C1176468	Erythrocyte sedimentation rate measurement	has_pcdc_ews_permissible_value	Laboratory Test Name	C3891717
C5444034	MicroRNA 373-3p Measurement	has_pcdc_gct_permissible_value	Laboratory Test Name	C3891717
C0200635	Lymphocyte Count measurement	has_pcdc_hl_permissible_value	Laboratory Test Name	C3891717
C0337438	Glucose measurement	has_pcdc_os_permissible_value	Laboratory Test Name	C3891717
C0031157	Peritonsillar Abscess	has_permuted_term	Peritonsillar Abscess	C0031157
C2348003	Agent Administration	has_pharmaceutical_administration_method	Nasal Powder	C1272999
C4722630	Solution Dosage Form Category	has_pharmaceutical_basic_dose_form	Anticoagulant and Preservative Solution for Blood Dosage Form	C4725200
C4724382	Environmental	has_pharmaceutical_intended_site	Bee Smoke Paper Dosage Form	C4725203
C4724243	Conventional Release Mechanism of Action	has_pharmaceutical_release_characteristics	Beehive Dispersion Dosage Form	C4725120
C1522726	Intravenous Route of Drug Administration	has_pharmaceutical_route	Multisection^W contrast IV:Find:Pt:Extremity.left:Doc:CT	C0945320
C0205208	Solid	has_pharmaceutical_state_of_matter	Beehive Strip Dosage Form	C4725207
C3830465	Dissolution Mixing	has_pharmaceutical_transformation	Bath Additive Dosage Form	C1272959
C1373187	Renal Elimination	has_pharmacokinetics	medroxyprogesterone acetate	C0065864
C1333991	Hereditary Non-Polyposis Colon Cancer Type 2	has_phenotype	MLH1, ARG265CYS	C3149062
C0043519	Zona Pellucida	has_physical_part_of_anatomic_structure	Oocytes	C0029045
C1371530	Decreased Cholesterol Absorption	has_physiologic_effect	colesevelam	C0541155
C3687563	Physically mature	has_physiologic_state	Adult female dog for breeding	C3669480
C0522523	Percutaneous	has_possibly_included_approach	Open treatment of ankle dislocation, with or without percutaneous skeletal fixation; without repair or internal fixation	C0489922
C0392618	Postoperative infection	has_possibly_included_associated_finding	Exploration for postoperative hemorrhage, thrombosis or infection; abdomen	C0371769
C0370271	Anesthesia for closed chest procedures; (including bronchoscopy) not otherwise specified	has_possibly_included_associated_procedure	Bronchoscopy	C0006290
C0429774	Residual urine volume	has_possibly_included_component	Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging	C1144666
C0011079	Debridement	has_possibly_included_method	Dressings and/or debridement of partial-thickness burns, initial or subsequent; small (less than 5% total body surface area)	C0370556
C0201835	Adrenocorticotropic hormone measurement	has_possibly_included_panel_element	ACTH stimulation panel; for adrenal insufficiency This panel must include the following: Cortisol (82533 x 2)	C0373491
C0016658	Fracture	has_possibly_included_pathology	Open treatment and/or reduction of vertebral fracture(s) and/or dislocation(s), posterior approach, one fractured vertebra or dislocated segment; lumbar	C0370813
C0085537	Caregiver	has_possibly_included_patient_type	Rehabilitative therapy options discussed with patient (or caregiver) (Prkns)	C2939351
C0079635	Internal Fixators	has_possibly_included_procedure_device	Open treatment of greater humeral tuberosity fracture, includes internal fixation, when performed	C0370884
C0015641	Fascia	has_possibly_included_procedure_site	Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less	C2939401
C1720462	Cardiac Intraventricular Route of Drug Administration	has_possibly_included_route_of_administration	Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography	C2939321
C0439855	Complex	has_possibly_included_surgical_extent	Open treatment of carpometacarpal dislocation, other than thumb; complex, multiple, or delayed reduction	C0371074
C0982062	Cefaclor Monohydrate	has_precise_active_ingredient	Cefaclor 375 MG Extended Release Oral Tablet	C1165094
C0017720	glucosamine sulfate	has_precise_ingredient	glucosamine sulfate 500 MG	C1127728
C0277814	Sitting position	has_precondition	Sitting blood pressure	C0580946
C0882010	Guidance for percutaneous biopsy:Find:Pt:Abdomen>Liver:Doc:CT	has_presence_guidance	Spatial guidance for medical procedure	C1959633
C4319574	Capsule (unit of presentation)	has_presentation_strength_denominator_unit	amprenavir 150 MG Oral Capsule	C0794855
C0205447	One	has_presentation_strength_denominator_value	capecitabine 500 MG Oral Tablet	C0694330
C0439210	milligram	has_presentation_strength_numerator_unit	atorvastatin 80 MG Oral Tablet	C0872877
C4319550	120	has_presentation_strength_numerator_value	alverine 120 MG Oral Capsule	C0595709
C2829919	A1BG-AS1 gene	has_prev_name	A1BG-AS1 gene	C2829919
C2829919	A1BG-AS1 gene	has_prev_symbol	A1BG-AS1 gene	C2829919
C1305854	C8 innervation	has_primary_segmental_supply	Flexor digitorum profundus muscle of hand	C0224261
C0040329	Tobacco	has_print_name	Tobacco	C0040329
C0175673	Bale out	has_priority	Open chest cardiac massage	C0190043
C0565964	Context values for actions	has_procedure_context	Conjunctival swab taken for virology	C2585114
C0030163	Artificial cardiac pacemaker	has_procedure_device	Management of permanent pacemaker	C2315036
C0740114	Ileostomy - stoma	has_procedure_morphology	Ileostomy transplantation to new site	C0192797
C0225150	Structure of tarsal canal	has_procedure_site	ultrasound of tarsal canal	C2173900
C1442770	24 Hours	has_process_duration	Estimated quantity of intake of carbohydrate in 24 hours	C5192886
C4302288	Entire ventilation cycle process	has_process_output	Total breath rate	C0428678
C0231335	Childhood	has_product_characteristic	Pediatric vaccine product containing only Hepatitis A virus antigen (medicinal product)	C5397351
C4719764	Carbinoxamine Maleate Tablets	has_product_monograph_title	carbinoxamine Oral Tablet	C1245318
C2338170	anterior thalamic radiations	has_projection	Medial Dorsal Nucleus	C0228329
C0456603	Ratio	has_property	gamma-Glutamyltransferase/aspartate amino transferase ratio measurement	C0523651
C0005903	Body Temperature	has_property_type	Oral temperature	C1532216
C2684174	24 HR diltiazem hydrochloride 120 MG Extended Release Oral Capsule [Diltzac]	has_quantified_form	Diltiazem Hydrochloride 120 MG Extended Release Oral Capsule [Diltzac]	C1694579
